tipe,nilai
provinsi,Aceh
provinsi,Bali
provinsi,Banten
provinsi,Bengkulu
provinsi,D.I. Yogyakarta
provinsi,D.K.I. Jakarta
provinsi,Gorontalo
provinsi,Jambi
provinsi,Jawa Barat
provinsi,Jawa Tengah
provinsi,Jawa Timur
provinsi,Kalimantan Barat
provinsi,Kalimantan Selatan
provinsi,Kalimantan Tengah
provinsi,Kalimantan Timur
provinsi,Kalimantan Utara
provinsi,Kepulauan Bangka Belitung
provinsi,Kepulauan Riau
provinsi,Lampung
provinsi,Maluku
provinsi,Maluku Utara
provinsi,Nusa Tenggara Barat
provinsi,Nusa Tenggara Timur
provinsi,Papua
provinsi,Papua Barat
provinsi,Papua Barat Daya
provinsi,Papua Pegunungan
provinsi,Papua Selatan
provinsi,Papua Tengah
provinsi,Riau
provinsi,Sulawesi Barat
provinsi,Sulawesi Selatan
provinsi,Sulawesi Tengah
provinsi,Sulawesi Tenggara
provinsi,Sulawesi Utara
provinsi,Sumatera Barat
provinsi,Sumatera Selatan
provinsi,Sumatera Utara
program,1.Disain komunikasi visual
program,Bahasa
program,Bahasa Asing
program,Bahasa Indonesia
program,Bahasa Inggris
program,Bahasa asing
program,Batik
program,Belum Ditentukan
program,Bimbingan Belajar
program,Boga
program,Bordir dan Sulaman
program,Busana
program,Desain Komunikasi Visual
program,Desain Media Visual
program,Disain Komunikasi Visual
program,Industri Kreatif dan Konten Digital
program,Kesehatan Tradisional
program,Kesejahteraan Holistik
program,Keuangan dan Aktuaria
program,Komunikasi Massa
program,Komunikasi dan Informasi
program,Layanan Kesehatan
program,Manajemen
program,Menjahit
program,Pariwisata
program,Pemasaran
program,Pendidikan Keluarga
program,Pendidikan Keluarga dan
program,Peramuan Minuman
program,Perangkat Keras
program,Perangkat Lunak
program,Perangkat keras
program,Perangkat lunak
program,Perhotelan
program,Pertanian dan Kehutanan
program,Pramuan minuman
program,Seni Pertunjukan
program,Tata Boga
program,Tata Busana
program,Tata Kecantikan
program,Tata Rias Pengantin
program,Tata kecantikan
program,Teknik Ketenagalistrikan
program,Teknik Otomasi
program,Teknik Otomotif
program,Teknologi informasi dan digital
program,Transportasi Darat
program,Transportasi Udara
program,Transportasi darat
program,"seni,budaya dan ekonomi kreatif"
